Country/Region,Province/State,Lat,Long,date,type,cases
Afghanistan,,33,65,3/1/20,confirmed,1
Afghanistan,,33,65,3/1/20,death,0
Afghanistan,,33,65,3/1/20,recovered,0
Afghanistan,,33,65,3/2/20,confirmed,1
Afghanistan,,33,65,3/2/20,death,0
Afghanistan,,33,65,3/2/20,recovered,0
Afghanistan,,33,65,3/3/20,confirmed,1
Afghanistan,,33,65,3/3/20,death,0
Afghanistan,,33,65,3/3/20,recovered,0
Afghanistan,,33,65,3/4/20,confirmed,1
Afghanistan,,33,65,3/4/20,death,0
Afghanistan,,33,65,3/4/20,recovered,0
Afghanistan,,33,65,3/5/20,confirmed,1
Afghanistan,,33,65,3/5/20,death,0
Afghanistan,,33,65,3/5/20,recovered,0
Afghanistan,,33,65,3/6/20,confirmed,1
Afghanistan,,33,65,3/6/20,death,0
Afghanistan,,33,65,3/6/20,recovered,0
Afghanistan,,33,65,3/7/20,confirmed,1
Afghanistan,,33,65,3/7/20,death,0
Afghanistan,,33,65,3/7/20,recovered,0
Afghanistan,,33,65,3/8/20,confirmed,4
Afghanistan,,33,65,3/8/20,death,0
Afghanistan,,33,65,3/8/20,recovered,0
Afghanistan,,33,65,3/9/20,confirmed,4
Afghanistan,,33,65,3/9/20,death,0
Afghanistan,,33,65,3/9/20,recovered,0
Afghanistan,,33,65,3/10/20,confirmed,5
Afghanistan,,33,65,3/10/20,death,0
Afghanistan,,33,65,3/10/20,recovered,0
Afghanistan,,33,65,3/11/20,confirmed,7
Afghanistan,,33,65,3/11/20,death,0
Afghanistan,,33,65,3/11/20,recovered,0
Afghanistan,,33,65,3/12/20,confirmed,7
Afghanistan,,33,65,3/12/20,death,0
Afghanistan,,33,65,3/12/20,recovered,0
Afghanistan,,33,65,3/13/20,confirmed,7
Afghanistan,,33,65,3/13/20,death,0
Afghanistan,,33,65,3/13/20,recovered,0
Afghanistan,,33,65,3/14/20,confirmed,11
Afghanistan,,33,65,3/14/20,death,0
Afghanistan,,33,65,3/14/20,recovered,0
Afghanistan,,33,65,3/15/20,confirmed,16
Afghanistan,,33,65,3/15/20,death,0
Afghanistan,,33,65,3/15/20,recovered,0
Afghanistan,,33,65,3/16/20,confirmed,21
Afghanistan,,33,65,3/16/20,death,0
Afghanistan,,33,65,3/16/20,recovered,1
Afghanistan,,33,65,3/17/20,confirmed,22
Afghanistan,,33,65,3/17/20,death,0
Afghanistan,,33,65,3/17/20,recovered,1
Afghanistan,,33,65,3/18/20,confirmed,22
Afghanistan,,33,65,3/18/20,death,0
Afghanistan,,33,65,3/18/20,recovered,1
Albania,,41.1533,20.1683,1/22/20,confirmed,0
Albania,,41.1533,20.1683,1/22/20,death,0
Albania,,41.1533,20.1683,1/22/20,recovered,0
Albania,,41.1533,20.1683,1/23/20,confirmed,0
Albania,,41.1533,20.1683,1/23/20,death,0
Albania,,41.1533,20.1683,1/23/20,recovered,0
Albania,,41.1533,20.1683,1/24/20,confirmed,0
