Date,State,Type,Cases
3/18/20,Queensland,Recovered,
3/19/2020,Queensland,Confirmed,144
3/19/2020,Queensland,Deaths,
3/19/2020,Queensland,Serious,
3/19/2020,Queensland,Critical,
3/19/2020,Queensland,Recovered,
3/20/2020,Queensland,Confirmed,184
3/20/2020,Queensland,Deaths,
3/20/2020,Queensland,Serious,
3/20/2020,Queensland,Critical,
3/20/2020,Queensland,Recovered,8
3/21/2020,Queensland,Confirmed,221
3/21/2020,Queensland,Deaths,
3/21/2020,Queensland,Serious,
3/21/2020,Queensland,Critical,
3/21/2020,Queensland,Recovered,8
3/22/2020,Queensland,Confirmed,259
3/22/2020,Queensland,Deaths,
3/22/2020,Queensland,Serious,
3/22/2020,Queensland,Critical,
3/22/2020,Queensland,Recovered,8
3/17/20,South Australia,Confirmed,32
3/17/20,South Australia,Deaths,
3/17/20,South Australia,Serious,
3/17/20,South Australia,Critical,
3/17/20,South Australia,Recovered,3
3/18/20,South Australia,Confirmed,37
3/18/20,South Australia,Deaths,
3/18/20,South Australia,Serious,
3/18/20,South Australia,Critical,
3/18/20,South Australia,Recovered,3
3/19/2020,South Australia,Confirmed,42
3/19/2020,South Australia,Deaths,
3/19/2020,South Australia,Serious,
3/19/2020,South Australia,Critical,
3/19/2020,South Australia,Recovered,3
3/20/2020,South Australia,Confirmed,50
3/20/2020,South Australia,Deaths,
3/20/2020,South Australia,Serious,
3/20/2020,South Australia,Critical,
3/20/2020,South Australia,Recovered,6
3/21/2020,South Australia,Confirmed,67
3/21/2020,South Australia,Deaths,
3/21/2020,South Australia,Serious,
3/21/2020,South Australia,Critical,
3/21/2020,South Australia,Recovered,6
3/22/2020,South Australia,Confirmed,100
3/22/2020,South Australia,Deaths,
3/22/2020,South Australia,Serious,
3/22/2020,South Australia,Critical,
3/22/2020,South Australia,Recovered,6
3/17/20,Tasmania,Confirmed,7
3/17/20,Tasmania,Deaths,
3/17/20,Tasmania,Serious,
3/17/20,Tasmania,Critical,
3/17/20,Tasmania,Recovered,
3/18/20,Tasmania,Confirmed,10
3/18/20,Tasmania,Deaths,
3/18/20,Tasmania,Serious,
3/18/20,Tasmania,Critical,
3/18/20,Tasmania,Recovered,
3/19/2020,Tasmania,Confirmed,10
3/19/2020,Tasmania,Deaths,
3/19/2020,Tasmania,Serious,
3/19/2020,Tasmania,Critical,
3/19/2020,Tasmania,Recovered,
3/20/2020,Tasmania,Confirmed,10
3/20/2020,Tasmania,Deaths,
3/20/2020,Tasmania,Serious,
3/20/2020,Tasmania,Critical,
3/20/2020,Tasmania,Recovered,3
3/21/2020,Tasmania,Confirmed,16
3/21/2020,Tasmania,Deaths,
3/21/2020,Tasmania,Serious,
3/21/2020,Tasmania,Critical,
3/21/2020,Tasmania,Recovered,3
3/22/2020,Tasmania,Confirmed,17
3/22/2020,Tasmania,Deaths,
3/22/2020,Tasmania,Serious,
3/22/2020,Tasmania,Critical,
3/22/2020,Tasmania,Recovered,3
3/17/20,TBD,Confirmed,
3/17/20,TBD,Deaths,
3/17/20,TBD,Serious,
3/17/20,TBD,Critical,
3/17/20,TBD,Recovered,23
3/18/20,TBD,Confirmed,
3/18/20,TBD,Deaths,
3/18/20,TBD,Serious,
3/18/20,TBD,Critical,
3/18/20,TBD,Recovered,23
3/19/2020,TBD,Confirmed,
3/19/2020,TBD,Deaths,
3/19/2020,TBD,Serious,
3/19/2020,TBD,Critical,
3/19/2020,TBD,Recovered,23
3/20/2020,TBD,Confirmed,
3/20/2020,TBD,Deaths,
3/20/2020,TBD,Serious,
3/20/2020,TBD,Critical,
3/20/2020,TBD,Recovered,23
3/21/2020,TBD,Confirmed,
3/21/2020,TBD,Deaths,
3/21/2020,TBD,Serious,
3/21/2020,TBD,Critical,
3/21/2020,TBD,Recovered,
3/22/2020,TBD,Confirmed,
3/22/2020,TBD,Deaths,
3/22/2020,TBD,Serious,
3/22/2020,TBD,Critical,
3/22/2020,TBD,Recovered,
3/17/20,Victoria,Confirmed,94
3/17/20,Victoria,Deaths,
3/17/20,Victoria,Serious,
3/17/20,Victoria,Critical,
3/17/20,Victoria,Recovered,
3/18/20,Victoria,Confirmed,121
