Date,State,Type,Cases
3/17/2020,District of Columbia,Recovered,0
3/18/2020,District of Columbia,Confirmed,31
3/18/2020,District of Columbia,Deaths,0
3/18/2020,District of Columbia,Recovered,0
3/19/2020,District of Columbia,Confirmed,71
3/19/2020,District of Columbia,Deaths,3
3/19/2020,District of Columbia,Recovered,0
3/20/2020,District of Columbia,Confirmed,81
3/20/2020,District of Columbia,Deaths,1
3/20/2020,District of Columbia,Recovered,0
3/21/2020,District of Columbia,Confirmed,98
3/21/2020,District of Columbia,Deaths,1
3/21/2020,District of Columbia,Recovered,0
3/22/2020,District of Columbia,Confirmed,98
3/22/2020,District of Columbia,Deaths,1
3/22/2020,District of Columbia,Recovered,0
3/17/2020,Florida,Confirmed,173
3/17/2020,Florida,Deaths,6
3/17/2020,Florida,Recovered,0
3/18/2020,Florida,Confirmed,317
3/18/2020,Florida,Deaths,7
3/18/2020,Florida,Recovered,0
3/19/2020,Florida,Confirmed,432
3/19/2020,Florida,Deaths,9
3/19/2020,Florida,Recovered,0
3/20/2020,Florida,Confirmed,563
3/20/2020,Florida,Deaths,11
3/20/2020,Florida,Recovered,0
3/21/2020,Florida,Confirmed,757
3/21/2020,Florida,Deaths,11
3/21/2020,Florida,Recovered,
3/22/2020,Florida,Confirmed,757
3/22/2020,Florida,Deaths,11
3/22/2020,Florida,Recovered,
3/17/2020,Georgia,Confirmed,146
3/17/2020,Georgia,Deaths,1
3/17/2020,Georgia,Recovered,0
3/18/2020,Georgia,Confirmed,199
3/18/2020,Georgia,Deaths,1
3/18/2020,Georgia,Recovered,0
3/19/2020,Georgia,Confirmed,287
3/19/2020,Georgia,Deaths,10
3/19/2020,Georgia,Recovered,0
3/20/2020,Georgia,Confirmed,485
3/20/2020,Georgia,Deaths,14
3/20/2020,Georgia,Recovered,0
3/21/2020,Georgia,Confirmed,555
3/21/2020,Georgia,Deaths,20
3/21/2020,Georgia,Recovered,
3/22/2020,Georgia,Confirmed,555
3/22/2020,Georgia,Deaths,20
3/22/2020,Georgia,Recovered,
3/17/2020,Guam,Confirmed,3
3/17/2020,Guam,Deaths,0
3/17/2020,Guam,Recovered,0
3/18/2020,Guam,Confirmed,3
3/18/2020,Guam,Deaths,0
3/18/2020,Guam,Recovered,0
3/19/2020,Guam,Confirmed,12
3/19/2020,Guam,Deaths,0
3/19/2020,Guam,Recovered,0
3/20/2020,Guam,Confirmed,12
3/20/2020,Guam,Deaths,0
3/20/2020,Guam,Recovered,0
3/21/2020,Guam,Confirmed,12
3/21/2020,Guam,Deaths,0
3/21/2020,Guam,Recovered,0
3/22/2020,Guam,Confirmed,15
3/22/2020,Guam,Deaths,1
3/22/2020,Guam,Recovered,0
3/17/2020,Hawaii,Confirmed,4
3/17/2020,Hawaii,Deaths,0
3/17/2020,Hawaii,Recovered,0
3/18/2020,Hawaii,Confirmed,14
3/18/2020,Hawaii,Deaths,0
3/18/2020,Hawaii,Recovered,0
3/19/2020,Hawaii,Confirmed,22
3/19/2020,Hawaii,Deaths,0
3/19/2020,Hawaii,Recovered,0
3/20/2020,Hawaii,Confirmed,37
3/20/2020,Hawaii,Deaths,0
3/20/2020,Hawaii,Recovered,0
3/21/2020,Hawaii,Confirmed,37
3/21/2020,Hawaii,Deaths,0
3/21/2020,Hawaii,Recovered,0
3/22/2020,Hawaii,Confirmed,37
3/22/2020,Hawaii,Deaths,0
3/22/2020,Hawaii,Recovered,0
3/17/2020,Idaho,Confirmed,5
3/17/2020,Idaho,Deaths,0
3/17/2020,Idaho,Recovered,0
3/18/2020,Idaho,Confirmed,9
3/18/2020,Idaho,Deaths,0
3/18/2020,Idaho,Recovered,0
3/19/2020,Idaho,Confirmed,23
3/19/2020,Idaho,Deaths,0
3/19/2020,Idaho,Recovered,0
3/20/2020,Idaho,Confirmed,36
3/20/2020,Idaho,Deaths,0
3/20/2020,Idaho,Recovered,0
3/21/2020,Idaho,Confirmed,36
3/21/2020,Idaho,Deaths,0
3/21/2020,Idaho,Recovered,0
3/22/2020,Idaho,Confirmed,36
3/22/2020,Idaho,Deaths,0
3/22/2020,Idaho,Recovered,0
3/17/2020,Illinois,Confirmed,166
3/17/2020,Illinois,Deaths,1
3/17/2020,Illinois,Recovered,2
3/18/2020,Illinois,Confirmed,288
3/18/2020,Illinois,Deaths,1
3/18/2020,Illinois,Recovered,2
3/19/2020,Illinois,Confirmed,422
3/19/2020,Illinois,Deaths,4
3/19/2020,Illinois,Recovered,2
3/20/2020,Illinois,Confirmed,585
3/20/2020,Illinois,Deaths,5
3/20/2020,Illinois,Recovered,2
3/21/2020,Illinois,Confirmed,753
3/21/2020,Illinois,Deaths,6
3/21/2020,Illinois,Recovered,
3/22/2020,Illinois,Confirmed,753
3/22/2020,Illinois,Deaths,6
3/22/2020,Illinois,Recovered,2
3/17/2020,Indiana,Confirmed,30
3/17/2020,Indiana,Deaths,2
3/17/2020,Indiana,Recovered,0
3/18/2020,Indiana,Confirmed,39
3/18/2020,Indiana,Deaths,2
3/18/2020,Indiana,Recovered,0
3/19/2020,Indiana,Confirmed,60
3/19/2020,Indiana,Deaths,2
3/19/2020,Indiana,Recovered,0
3/20/2020,Indiana,Confirmed,86
3/20/2020,Indiana,Deaths,3
3/20/2020,Indiana,Recovered,0
3/21/2020,Indiana,Confirmed,126
3/21/2020,Indiana,Deaths,3
3/21/2020,Indiana,Recovered,0
3/22/2020,Indiana,Confirmed,201
3/22/2020,Indiana,Deaths,4
3/22/2020,Indiana,Recovered,0
3/17/2020,Iowa,Confirmed,17
3/17/2020,Iowa,Deaths,0
3/17/2020,Iowa,Recovered,0
3/18/2020,Iowa,Confirmed,38
3/18/2020,Iowa,Deaths,0
3/18/2020,Iowa,Recovered,0
3/19/2020,Iowa,Confirmed,44
3/19/2020,Iowa,Deaths,0
3/19/2020,Iowa,Recovered,0
3/20/2020,Iowa,Confirmed,45
3/20/2020,Iowa,Deaths,0
3/20/2020,Iowa,Recovered,0
3/21/2020,Iowa,Confirmed,45
3/21/2020,Iowa,Deaths,0
3/21/2020,Iowa,Recovered,0
3/22/2020,Iowa,Confirmed,45
3/22/2020,Iowa,Deaths,0
3/22/2020,Iowa,Recovered,0
3/17/2020,Kansas,Confirmed,16
3/17/2020,Kansas,Deaths,1
3/17/2020,Kansas,Recovered,0
3/18/2020,Kansas,Confirmed,18
3/18/2020,Kansas,Deaths,1
3/18/2020,Kansas,Recovered,0
3/19/2020,Kansas,Confirmed,36
3/19/2020,Kansas,Deaths,1
3/19/2020,Kansas,Recovered,0
3/20/2020,Kansas,Confirmed,50
3/20/2020,Kansas,Deaths,1
3/20/2020,Kansas,Recovered,0
3/21/2020,Kansas,Confirmed,50
3/21/2020,Kansas,Deaths,1
3/21/2020,Kansas,Recovered,0
3/22/2020,Kansas,Confirmed,50
3/22/2020,Kansas,Deaths,1
3/22/2020,Kansas,Recovered,0
3/17/2020,Kentucky,Confirmed,25
3/17/2020,Kentucky,Deaths,1
3/17/2020,Kentucky,Recovered,1
3/18/2020,Kentucky,Confirmed,27
3/18/2020,Kentucky,Deaths,1
3/18/2020,Kentucky,Recovered,0
3/19/2020,Kentucky,Confirmed,50
3/19/2020,Kentucky,Deaths,2
3/19/2020,Kentucky,Recovered,2
3/20/2020,Kentucky,Confirmed,64
3/20/2020,Kentucky,Deaths,2
3/20/2020,Kentucky,Recovered,2
3/21/2020,Kentucky,Confirmed,64
3/21/2020,Kentucky,Deaths,2
3/21/2020,Kentucky,Recovered,2
3/22/2020,Kentucky,Confirmed,87
3/22/2020,Kentucky,Deaths,3
3/22/2020,Kentucky,Recovered,2
3/17/2020,Louisiana,Confirmed,171
3/17/2020,Louisiana,Deaths,4
3/17/2020,Louisiana,Recovered,0
3/18/2020,Louisiana,Confirmed,280
3/18/2020,Louisiana,Deaths,7
3/18/2020,Louisiana,Recovered,0
3/19/2020,Louisiana,Confirmed,392
3/19/2020,Louisiana,Deaths,10
3/19/2020,Louisiana,Recovered,0
3/20/2020,Louisiana,Confirmed,537
3/20/2020,Louisiana,Deaths,14
3/20/2020,Louisiana,Recovered,0
3/21/2020,Louisiana,Confirmed,585
3/21/2020,Louisiana,Deaths,16
3/21/2020,Louisiana,Recovered,
3/22/2020,Louisiana,Confirmed,585
3/22/2020,Louisiana,Deaths,16
3/22/2020,Louisiana,Recovered,
3/17/2020,Maine,Confirmed,3
3/17/2020,Maine,Deaths,0
3/17/2020,Maine,Recovered,0
3/18/2020,Maine,Confirmed,43
3/18/2020,Maine,Deaths,0
3/18/2020,Maine,Recovered,0
3/19/2020,Maine,Confirmed,52
3/19/2020,Maine,Deaths,0
3/19/2020,Maine,Recovered,0
3/20/2020,Maine,Confirmed,56
3/20/2020,Maine,Deaths,0
3/20/2020,Maine,Recovered,0
3/21/2020,Maine,Confirmed,56
3/21/2020,Maine,Deaths,0
3/21/2020,Maine,Recovered,0
3/22/2020,Maine,Confirmed,56
