Date,Province,Type,Cases
3/18/20,Northwest Territories,Serious,
3/18/20,Northwest Territories,Critical,
3/18/20,Northwest Territories,Recovered,
3/19/2020,Northwest Territories,Confirmed,0
3/19/2020,Northwest Territories,Deaths,0
3/19/2020,Northwest Territories,Serious,
3/19/2020,Northwest Territories,Critical,
3/19/2020,Northwest Territories,Recovered,
3/20/2020,Northwest Territories,Confirmed,0
3/20/2020,Northwest Territories,Deaths,0
3/20/2020,Northwest Territories,Serious,
3/20/2020,Northwest Territories,Critical,
3/20/2020,Northwest Territories,Recovered,
3/21/2020,Northwest Territories,Confirmed,1
3/21/2020,Northwest Territories,Deaths,0
3/21/2020,Northwest Territories,Serious,
3/21/2020,Northwest Territories,Critical,
3/21/2020,Northwest Territories,Recovered,
3/22/2020,Northwest Territories,Confirmed,1
3/22/2020,Northwest Territories,Deaths,0
3/22/2020,Northwest Territories,Serious,
3/22/2020,Northwest Territories,Critical,
3/22/2020,Northwest Territories,Recovered,
3/17/20,Nova Scotia,Confirmed,13
3/17/20,Nova Scotia,Deaths,0
3/17/20,Nova Scotia,Serious,
3/17/20,Nova Scotia,Critical,
3/17/20,Nova Scotia,Recovered,
3/18/20,Nova Scotia,Confirmed,12
3/18/20,Nova Scotia,Deaths,0
3/18/20,Nova Scotia,Serious,
3/18/20,Nova Scotia,Critical,
3/18/20,Nova Scotia,Recovered,
3/19/2020,Nova Scotia,Confirmed,14
3/19/2020,Nova Scotia,Deaths,0
3/19/2020,Nova Scotia,Serious,
3/19/2020,Nova Scotia,Critical,
3/19/2020,Nova Scotia,Recovered,
3/20/2020,Nova Scotia,Confirmed,15
3/20/2020,Nova Scotia,Deaths,0
3/20/2020,Nova Scotia,Serious,
3/20/2020,Nova Scotia,Critical,
3/20/2020,Nova Scotia,Recovered,
3/21/2020,Nova Scotia,Confirmed,21
3/21/2020,Nova Scotia,Deaths,0
3/21/2020,Nova Scotia,Serious,
3/21/2020,Nova Scotia,Critical,
3/21/2020,Nova Scotia,Recovered,
3/22/2020,Nova Scotia,Confirmed,28
3/22/2020,Nova Scotia,Deaths,0
3/22/2020,Nova Scotia,Serious,
3/22/2020,Nova Scotia,Critical,
3/22/2020,Nova Scotia,Recovered,
3/17/20,Nunavut,Confirmed,0
3/17/20,Nunavut,Deaths,0
3/17/20,Nunavut,Serious,
3/17/20,Nunavut,Critical,
3/17/20,Nunavut,Recovered,
3/18/20,Nunavut,Confirmed,0
3/18/20,Nunavut,Deaths,0
3/18/20,Nunavut,Serious,
3/18/20,Nunavut,Critical,
3/18/20,Nunavut,Recovered,
3/19/2020,Nunavut,Confirmed,0
3/19/2020,Nunavut,Deaths,0
3/19/2020,Nunavut,Serious,
3/19/2020,Nunavut,Critical,
3/19/2020,Nunavut,Recovered,
3/20/2020,Nunavut,Confirmed,0
3/20/2020,Nunavut,Deaths,0
3/20/2020,Nunavut,Serious,
3/20/2020,Nunavut,Critical,
3/20/2020,Nunavut,Recovered,
3/21/2020,Nunavut,Confirmed,0
3/21/2020,Nunavut,Deaths,0
3/21/2020,Nunavut,Serious,
3/21/2020,Nunavut,Critical,
3/21/2020,Nunavut,Recovered,
3/22/2020,Nunavut,Confirmed,0
3/22/2020,Nunavut,Deaths,0
3/22/2020,Nunavut,Serious,
3/22/2020,Nunavut,Critical,
3/22/2020,Nunavut,Recovered,
3/17/20,Ontario,Confirmed,189
3/17/20,Ontario,Deaths,1
3/17/20,Ontario,Serious,
3/17/20,Ontario,Critical,
3/17/20,Ontario,Recovered,5
3/18/20,Ontario,Confirmed,212
3/18/20,Ontario,Deaths,1
3/18/20,Ontario,Serious,
3/18/20,Ontario,Critical,
3/18/20,Ontario,Recovered,5
3/19/2020,Ontario,Confirmed,258
3/19/2020,Ontario,Deaths,2
3/19/2020,Ontario,Serious,
3/19/2020,Ontario,Critical,
3/19/2020,Ontario,Recovered,5
3/20/2020,Ontario,Confirmed,318
3/20/2020,Ontario,Deaths,2
3/20/2020,Ontario,Serious,
3/20/2020,Ontario,Critical,
3/20/2020,Ontario,Recovered,5
3/21/2020,Ontario,Confirmed,377
3/21/2020,Ontario,Deaths,3
3/21/2020,Ontario,Serious,
3/21/2020,Ontario,Critical,
3/21/2020,Ontario,Recovered,6
3/22/2020,Ontario,Confirmed,425
3/22/2020,Ontario,Deaths,5
3/22/2020,Ontario,Serious,
3/22/2020,Ontario,Critical,
3/22/2020,Ontario,Recovered,8
3/17/20,Prince Edward Island,Confirmed,1
3/17/20,Prince Edward Island,Deaths,0
3/17/20,Prince Edward Island,Serious,
3/17/20,Prince Edward Island,Critical,
3/17/20,Prince Edward Island,Recovered,
3/18/20,Prince Edward Island,Confirmed,1
3/18/20,Prince Edward Island,Deaths,0
3/18/20,Prince Edward Island,Serious,
3/18/20,Prince Edward Island,Critical,
3/18/20,Prince Edward Island,Recovered,
3/19/2020,Prince Edward Island,Confirmed,2
3/19/2020,Prince Edward Island,Deaths,0
3/19/2020,Prince Edward Island,Serious,
3/19/2020,Prince Edward Island,Critical,
