Date,Country,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000
3/22/2020,Iran,"21,638",1028,966,7.8,997,8.0,"1,685",129,123,8.4,126,8.6,"7,913",12040,6,6,6,6,6,6,6,6,6,5
3/17/20,Iraq,154,154,0,1.0,154,1.0,11,11,0,1.0,11,1.0,41,102,1,1,1,0,0,1,1,0,0,0
3/18/20,Iraq,164,10,154,7.1,82,7.1,12,1,11,7.7,6,7.7,,152,2,2,2,0,0,2,2,0,0,0
3/19/2020,Iraq,192,28,10,3.8,19,5.6,12,0,1,,0.5,16.8,41,139,3,3,3,0,0,3,3,0,0,0
3/20/2020,Iraq,208,16,28,6.1,22,4.4,17,5,0,1.7,2.5,3.4,49,142,4,4,4,0,0,4,4,0,0,0
3/21/2020,Iraq,214,6,16,16.6,11,9.0,17,0,5,,2.5,4.8,51,146,5,5,5,0,0,5,5,0,0,0
3/22/2020,Iraq,233,19,6,5.4,12.5,8.2,20,3,0,4.0,1.5,7.9,57,156,6,6,6,0,0,6,6,0,0,0
3/17/20,Ireland,292,292,0,1.0,292,1.0,2,2,0,1.0,2,1.0,5,285,1,1,1,1,0,1,0,0,0,0
3/18/20,Ireland,366,74,292,2.7,183,2.7,2,0,2,,1,,,364,2,2,2,2,0,2,0,0,0,0
3/19/2020,Ireland,557,191,74,1.3,132.5,1.9,3,1,0,1.4,0.5,2.8,5,549,3,3,3,3,0,3,0,0,0,0
3/20/2020,Ireland,683,126,191,3.1,158.5,2.4,3,0,1,,0.5,4.2,5,675,4,4,4,4,0,4,0,0,0,0
3/21/2020,Ireland,785,102,126,4.6,114,4.1,3,0,0,,0,,5,777,5,5,5,5,0,5,0,0,0,0
3/22/2020,Ireland,785,0,102,5.3,114,4.8,3,0,0,,,,5,777,6,6,6,6,0,6,0,0,0,0
3/20/2020,Isle of Man,2,2,0,1.0,2,1.0,0,0,0,1.0,0,1.0,0,2,1,0,0,0,0,0,0,0,0,0
3/21/2020,Isle of Man,2,0,2,,1,,0,0,0,,0,,0,2,2,0,0,0,0,0,0,0,0,0
3/22/2020,Isle of Man,5,3,0,0.5,1.5,0.9,0,0,0,,,,0,5,3,1,0,0,0,0,0,0,0,0
3/17/20,Israel,324,324,0,1.0,324,1.0,0,0,0,1.0,0,1.0,11,313,1,1,1,1,0,0,0,0,0,0
3/18/20,Israel,433,109,324,2.0,216.5,2.0,0,0,0,,0,,0,433,2,2,2,2,0,0,0,0,0,0
3/19/2020,Israel,677,244,109,1.2,176.5,1.7,0,0,0,,0,,12,665,3,3,3,3,0,0,0,0,0,0
3/20/2020,Israel,707,30,244,15.5,137,3.4,1,1,0,,0.5,,15,691,4,4,4,4,0,1,0,0,0,0
3/21/2020,Israel,883,176,30,2.7,103,4.7,1,0,1,,0.5,1.4,15,867,5,5,5,5,0,2,0,0,0,0
3/22/2020,Israel,945,62,176,9.8,119,5.1,1,0,0,,,1.4,15,929,6,6,6,6,0,3,0,0,0,0
3/17/20,Italy,31506,31506,0,1.0,31506,1.0,2503,2503,0,1.0,2503,1.0,2941,26062,1,1,1,1,1,1,1,1,1,1
3/18/20,Italy,35713,4207,31506,4.3,17856.5,4.3,2978,475,2503,3.7,1489,3.7,492,32243,2,2,2,2,2,2,2,2,2,2
3/19/2020,Italy,41035,5322,4207,4.2,4764.5,4.7,3405,427,475,4.9,451,4.6,4440,33190,3,3,3,3,3,3,3,3,3,3
3/20/2020,Italy,47021,5986,5322,3.9,5654,4.1,4032,627,427,3.8,527,4.5,"5,129",37860,4,4,4,4,4,4,4,4,4,4
3/21/2020,Italy,"53,578",6557,5986,4.0,6271.5,4.2,"4,825",793,627,3.6,710,4.0,"6,072",42681,5,5,5,5,5,5,5,5,5,5
3/22/2020,Italy,"59,138",5560,6557,5.4,6058.5,4.9,"5,476",651,793,5.2,722,4.7,"7,024",46638,6,6,6,6,6,6,6,6,6,6
3/17/20,Ivory Coast,4,4,0,1.0,4,1.0,0,0,0,1.0,0,1.0,0,4,1,0,0,0,0,0,0,0,0,0
3/18/20,Ivory Coast,9,5,4,0.6,4.5,0.6,0,0,0,,0,,,9,2,1,0,0,0,0,0,0,0,0
3/19/2020,Ivory Coast,9,0,5,,2.5,2.5,0,0,0,,0,,1,8,3,2,0,0,0,0,0,0,0,0
3/20/2020,Ivory Coast,9,0,0,,0,,0,0,0,,0,,1,8,4,3,0,0,0,0,0,0,0,0
3/21/2020,Ivory Coast,14,5,0,1.1,2.5,2.2,0,0,0,,0,,1,13,5,4,0,0,0,0,0,0,0,0
3/22/2020,Ivory Coast,17,3,5,3.0,4,2.3,0,0,0,,,,1,16,6,5,0,0,0,0,0,0,0,0
3/17/20,Jamaica,15,15,0,1.0,15,1.0,0,0,0,1.0,0,1.0,2,13,1,1,0,0,0,0,0,0,0,0
3/18/20,Jamaica,15,0,15,,7.5,,1,1,0,,0.5,,,14,2,2,0,0,0,1,0,0,0,0
3/19/2020,Jamaica,15,0,0,,0,,1,0,1,,0.5,1.4,2,12,3,3,0,0,0,2,0,0,0,0
3/20/2020,Jamaica,15,0,0,,0,,1,0,0,,0,,2,12,4,4,0,0,0,3,0,0,0,0
3/21/2020,Jamaica,19,4,0,2.1,2,4.2,1,0,0,,0,,2,16,5,5,0,0,0,4,0,0,0,0
3/22/2020,Jamaica,19,0,4,2.8,2,5.6,1,0,0,,,,2,16,6,6,0,0,0,5,0,0,0,0
3/17/20,Japan,878,878,0,1.0,878,1.0,28,28,0,1.0,28,1.0,164,686,1,1,1,1,0,1,1,0,0,0
3/18/20,Japan,899,21,878,22.9,449.5,22.9,29,1,28,19.6,14.5,19.6,2,868,2,2,2,2,0,2,2,0,0,0
3/19/2020,Japan,943,44,21,13.8,32.5,18.7,33,4,1,5.1,2.5,8.1,191,719,3,3,3,3,0,3,3,0,0,0
3/20/2020,Japan,963,20,44,25.2,32,15.7,33,0,4,,2,11.6,215,715,4,4,4,4,0,4,4,0,0,0
3/21/2020,Japan,"1,054",91,20,5.5,55.5,9.0,36,3,0,7.7,1.5,15.4,215,803,5,5,5,5,1,5,5,0,0,0
3/22/2020,Japan,"1,086",32,91,17.6,61.5,9.1,36,0,3,8.4,7.7,16.8,235,815,6,6,6,6,2,6,6,0,0,0
3/20/2020,Jersey,12,12,0,1.0,12,1.0,0,0,0,1.0,0,1.0,0,12,1,1,0,0,0,0,0,0,0,0
3/21/2020,Jersey,15,3,12,2.8,7.5,2.8,0,0,0,,0,,0,15,2,2,0,0,0,0,0,0,0,0
3/22/2020,Jersey,15,0,3,3.5,7.5,1.4,0,0,0,,,,0,15,3,3,0,0,0,0,0,0,0,0
3/17/20,Jordan,48,48,0,1.0,48,1.0,0,0,0,1.0,0,1.0,1,47,1,1,0,0,0,0,0,0,0,0
3/18/20,Jordan,56,8,48,4.1,28,4.1,0,0,0,,0,,,56,2,2,0,0,0,0,0,0,0,0
